OBJECTI,ROAD_RANK,MAX_SPD,ROAD_NAME_,X01hr,X02hr,X03hr,X04hr,X05hr,X06hr,X07hr,X08hr,X09hr,X10hr,X11hr,X12hr,X13hr,X14hr,X15hr,X16hr,X17hr,X18hr,X19hr,X20hr,X21hr,X22hr,X23hr,X24hr,Average
148897,104,60,Mugyo-ro,20.367848797250858,21.6560989010989,22.43846153846154,22.790618131868133,23.49235537190083,23.460563186813186,22.30723901098901,20.10076923076923,17.887704467353952,16.744123711340205,16.524810475534114,16.668198630136985,15.33009589041096,15.159178082191781,15.060171232876712,15.143102739726027,15.319429945054946,15.447876712328767,14.74009589041096,15.356682692307693,16.816978021978024,17.474031593406593,18.217692837465563,20.012698412698413,18.271534396015557
150008,104,60,Sejong-daero,26.418197802197803,27.603791208791208,28.69253846153846,29.87257142857143,30.423404958677686,30.177087912087913,28.20706043956044,25.441824175824177,22.999102422907487,21.813802197802197,22.227774104683196,23.180465753424656,23.160619178082193,22.241867105985722,21.22281868131868,21.53736579966796,21.674594146880178,21.745569620253164,20.75046677649643,22.189625550660793,24.708661894273128,25.322896475770925,26.27593388429752,27.552,24.810001665823055
155102,104,30,Jahamun-ro 17-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295132,104,60,Jangchungdan-ro,32.02281593406593,33.61667582417582,34.16164835164835,34.606675824175824,33.84668044077135,33.153035714285714,32.089766483516485,29.958956043956043,27.373461538461537,25.967293956043957,25.07464187327824,26.014123287671232,25.098984910836762,25.006831275720163,24.749190672153635,24.811632373113856,25.453067400275103,25.53384087791495,24.462678571428572,24.755440771349864,25.94236914600551,28.49688186813187,30.143471074380166,32.31133608815427,28.527145845896467
149092,104,60,Namdaemun-ro,25.506236263736263,28.11346153846154,29.34861263736264,30.466098901098903,30.453168044077135,29.796923076923076,27.632225274725275,25.31651098901099,22.26629120879121,20.377060439560438,19.49129476584022,19.05460273972603,17.727739726027398,16.612770919067216,15.54260989010989,15.058033012379642,15.033365650969529,15.708035961272476,16.145241379310345,16.321799450549452,17.369450549450548,18.762005494505495,21.31779614325069,22.75619834710744,21.50739718347141
295580,104,50,Cheonggyecheon-ro,18.409016574585635,20.91305402425579,22.18939293598234,22.520844370860928,22.854593248478142,22.591635359116022,21.92332229580574,19.70230132450331,18.097198895027624,16.35870718232044,14.454410625345878,13.944826637314254,12.768277380297194,13.107347275729223,13.020617079889806,12.783359073359074,13.173570627802691,13.885025553662691,13.965179079022171,14.992115165336374,16.33883694412771,17.021884139482566,18.184035378662244,19.28923630326508,17.187032811426374
150112,104,60,Sambong-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151730,104,30,Cheonggyecheon-ro,18.409016574585635,20.91305402425579,22.18939293598234,22.520844370860928,22.854593248478142,22.591635359116022,21.92332229580574,19.70230132450331,18.097198895027624,16.35870718232044,14.454410625345878,13.944826637314254,12.768277380297194,13.107347275729223,13.020617079889806,12.783359073359074,13.173570627802691,13.885025553662691,13.965179079022171,14.992115165336374,16.33883694412771,17.021884139482566,18.184035378662244,19.28923630326508,17.187032811426374
149205,103,60,Sajik-ro,29.187027472527472,30.29965934065934,31.084747252747253,31.630153846153846,31.865294765840222,31.223664835164836,28.692862637362637,26.88206043956044,25.293576923076923,25.270714285714284,25.454264462809917,27.339457534246577,27.23584109589041,26.36637609649123,25.342900219298247,25.089248491497532,24.954628099173554,24.63675824175824,23.790696271929825,25.08546703296703,27.376923076923077,28.5515,29.233438016528925,30.219719008264462,27.587790810274427
150781,104,60,Seosomun-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152321,104,60,Hwagae-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152320,104,60,Bukchon-ro 5ga-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149124,104,60,Jahamun-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154648,104,60,Gimsangok-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149357,104,60,Yulgok-ro,20.674313186813187,22.51091575091575,23.662637362637362,24.512554945054944,24.99514233241506,24.664020146520148,23.200989010989012,21.511932234432233,19.721675824175826,17.537957875457877,15.983333333333334,16.320739726027398,14.97930593607306,13.92337899543379,13.096118721461186,12.955118829981718,13.145875343721357,13.361919561243145,13.469141552511415,14.576492673992673,17.37220695970696,19.565457875457877,19.930982552800735,21.047300275482094,18.446646291943257
151182,104,60,Jahamun-ro 16-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149940,104,60,Supyo-ro,19.017815934065933,20.350274725274726,22.205521978021977,23.729395604395606,21.13285123966942,21.48907967032967,20.334368131868132,18.712857142857143,15.948804945054945,13.978956043956044,12.781735537190082,13.044356164383561,13.744917808219178,13.418520547945205,12.209794520547945,12.131712328767124,12.21907967032967,12.75564383561644,12.530164383561644,13.345027472527473,15.777087912087913,16.236785714285713,16.227658402203858,18.00439393939394,16.305283485523056
150543,104,50,Sejong-daero,26.418197802197803,27.603791208791208,28.69253846153846,29.87257142857143,30.423404958677686,30.177087912087913,28.20706043956044,25.441824175824177,22.999102422907487,21.813802197802197,22.227774104683196,23.180465753424656,23.160619178082193,22.241867105985722,21.22281868131868,21.53736579966796,21.674594146880178,21.745569620253164,20.75046677649643,22.189625550660793,24.708661894273128,25.322896475770925,26.27593388429752,27.552,24.810001665823055
150697,104,60,Changgyeonggung-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148946,104,60,Saemunan-ro 5-gil,13.500659340659341,14.743873626373626,15.388324175824176,15.245631868131868,15.36305785123967,14.729313186813187,13.296510989010988,11.72771978021978,10.71098901098901,10.066648351648352,10.23595041322314,11.299424657534246,11.24386301369863,10.504438356164384,9.829068493150684,9.645917808219178,9.496428571428572,9.298821917808219,8.415561643835616,8.292554945054945,10.290467032967033,11.476373626373627,12.262617079889807,13.280303030303031,11.681021615440047
150436,104,60,Jeongdong-gil,23.558282967032966,24.64107142857143,25.14449175824176,24.42907967032967,26.060812672176308,24.61754120879121,23.082623626373625,19.66331043956044,17.869052197802198,19.51804945054945,18.89366391184573,19.026123287671233,18.06268493150685,17.869438356164384,18.576027397260273,18.265753424657536,17.898873626373625,18.73109589041096,18.418369863013698,18.73114010989011,18.857527472527472,18.483695054945056,20.25077134986226,23.188415977961434,20.57657900306332
150448,103,60,Saemunan-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151341,104,0,Gyedong-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294695,103,60,Jong-ro,19.21511691884457,19.926822558459424,20.697977991746907,21.719903846153848,22.040743801652894,21.966497252747253,21.638543956043957,19.06291208791209,17.36756868131868,16.46760989010989,14.68404958677686,14.61798353909465,15.044677640603567,15.261961591220851,14.822674897119342,15.121659807956105,15.607001375515818,16.69320987654321,19.719135802469136,23.050866574965614,24.6339477303989,24.407881705639614,22.94489655172414,21.401972413793104,19.088150669950434
150728,104,30,Sajik-ro 8-gil,23.552032967032968,25.318887362637362,25.880302197802198,26.759436813186813,28.440661157024792,26.252692307692307,25.107129120879122,22.706071428571427,20.648585164835165,19.697005494505493,19.528278236914602,21.109205479452054,20.872452054794522,20.37391780821918,19.85521917808219,19.88805479452055,20.07081043956044,20.274986301369864,19.59823287671233,20.48412087912088,21.735563186813188,22.03916208791209,22.415123966942147,23.184118457300276,22.324668740078415
152893,103,30,Sejong-daero,26.418197802197803,27.603791208791208,28.69253846153846,29.87257142857143,30.423404958677686,30.177087912087913,28.20706043956044,25.441824175824177,22.999102422907487,21.813802197802197,22.227774104683196,23.180465753424656,23.160619178082193,22.241867105985722,21.22281868131868,21.53736579966796,21.674594146880178,21.745569620253164,20.75046677649643,22.189625550660793,24.708661894273128,25.322896475770925,26.27593388429752,27.552,24.810001665823055
152815,104,30,Cheongwadae-ro,27.10526444263629,28.867271142109853,29.246627680311892,27.638323643410853,29.72392718822618,28.257884615384615,25.97539835164835,25.685473901098902,25.474478021978022,24.811263736263736,24.52211432506887,27.098767123287672,27.105890410958903,26.2561301369863,25.5742602739726,25.503303632625087,25.705725085910654,26.109122686771762,25.61690410958904,26.617438186813185,28.058248626373626,30.51573489010989,29.84052478134111,28.67865889212828,27.08286399520857
152942,104,60,Sejong-daero 20-gil,24.950467032967033,26.881043956043957,27.732087912087913,28.19162087912088,28.414765840220387,27.9289010989011,25.502445054945056,21.368901098901098,16.145494505494504,13.714725274725275,13.211790633608816,14.137863013698631,15.308602739726027,15.663643835616439,14.580931506849316,14.562602739726028,14.812307692307693,14.764520547945205,12.80627397260274,12.652472527472527,13.067115384615384,15.31717032967033,18.428347107438018,21.827685950413223,18.8321575264624
155755,104,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149117,104,60,Eulji-ro,24.71778846153846,25.961533882783883,27.17275183150183,28.447115384615383,28.859963269054177,28.458246336996336,27.589468864468866,24.98002747252747,22.45897659476824,21.62349816849817,21.282341597796144,22.17125570776256,21.611922374429223,20.70046575342466,18.91089497716895,17.945287671232876,17.780041208791207,18.24801188299817,17.5563698630137,18.855499084249086,22.139464285714286,23.77842490842491,24.66480257116621,25.755964187327823,22.986254847510526
150687,104,60,Jahamun-ro 28-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150606,104,60,Changdeokgung 1-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153379,104,30,Deoksugung-gil,22.338323353293415,22.799101796407186,23.3248502994012,22.76210843373494,22.616036585365855,21.922349397590363,20.988203592814372,20.70556886227545,20.157724550898205,19.747185628742514,18.64233128834356,21.007,18.47398148148148,17.870727272727272,19.456774193548387,19.097018633540372,19.385031055900622,20.552951807228915,20.702874251497008,21.392035928143713,22.433832335329342,23.19922155688623,24.10463855421687,25.679759036144578,21.223317912312993
154156,104,30,Sejong-daero 21-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149654,104,60,Bukchon-ro,24.44706043956044,26.301263736263735,27.651414835164836,28.269945054945055,29.006239669421486,27.82872252747253,23.392843406593407,19.84789835164835,17.09434065934066,15.473516483516484,15.397231404958678,16.755575342465754,16.18841095890411,16.133246575342465,15.92513698630137,15.70509589041096,15.79331043956044,15.824383561643836,15.277,16.74304945054945,18.666593406593407,19.400645604395603,21.449614325068872,24.21111570247934,20.11598561719172
153382,104,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151733,104,30,Marrunnae-gil,21.366802197802198,23.97508791208791,24.598741758241758,24.75663186813187,22.371052341597796,20.893296703296702,18.57684065934066,17.122274725274725,15.631862637362637,14.273752747252747,13.6408044077135,13.986306849315069,13.526794520547945,12.859293150684932,12.991616438356164,13.318487671232877,13.706725274725274,14.133391780821919,14.470224657534247,15.455752747252747,17.262527472527474,18.77446703296703,19.407090909090908,19.501283746556474,17.358379592071483
151379,104,30,Seosomun-ro 11-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153347,104,60,Saemunan-ro 3-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149935,104,60,Chungmu-ro,19.466346153846153,20.194285714285716,20.60179945054945,21.326291208791208,21.616115702479338,21.257335164835165,20.416771978021977,21.215096153846154,20.61212912087912,18.657994505494507,16.626707988980716,16.598205479452055,16.435383561643835,16.15068493150685,15.186150684931507,15.048520547945206,15.445467032967032,15.645219178082192,14.690041095890411,16.092623626373626,18.23151098901099,19.637637362637363,20.925234159779613,20.666019283746557,18.447648794832364
153380,104,0,Sejong-daero,26.418197802197803,27.603791208791208,28.69253846153846,29.87257142857143,30.423404958677686,30.177087912087913,28.20706043956044,25.441824175824177,22.999102422907487,21.813802197802197,22.227774104683196,23.180465753424656,23.160619178082193,22.241867105985722,21.22281868131868,21.53736579966796,21.674594146880178,21.745569620253164,20.75046677649643,22.189625550660793,24.708661894273128,25.322896475770925,26.27593388429752,27.552,24.810001665823055
150482,104,60,Jong-ro 1-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149889,104,60,Sogong-ro,21.587190934065934,22.919903846153847,23.593221153846155,24.110638736263738,24.35245179063361,24.078179945054945,23.05081730769231,20.712376373626373,18.8519793814433,17.547266483516484,16.847141873278236,17.204780821917808,17.3145,16.67722602739726,15.763979452054794,15.574465753424658,15.534162087912089,15.77767808219178,16.58300684931507,18.034168956043956,19.478317307692308,19.189368131868132,20.02021349862259,21.98422865013774,19.449469310173047
150545,104,60,Taepyeong-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151216,104,60,Donhwamun-ro,20.08596153846154,21.060645604395603,21.339203296703296,21.936263736263736,22.1450826446281,22.695164835164835,22.19916208791209,19.939409340659342,16.799244505494507,14.701538461538462,13.463787878787878,13.763479452054794,12.995082191780822,12.53704109589041,11.89709589041096,11.331753424657535,11.526565934065934,11.994917808219178,12.462821917808219,13.390824175824175,15.424532967032967,17.059258241758243,18.027603305785124,19.736542699724517,16.604707626459263
149213,104,60,Sajik-ro,29.187027472527472,30.29965934065934,31.084747252747253,31.630153846153846,31.865294765840222,31.223664835164836,28.692862637362637,26.88206043956044,25.293576923076923,25.270714285714284,25.454264462809917,27.339457534246577,27.23584109589041,26.36637609649123,25.342900219298247,25.089248491497532,24.954628099173554,24.63675824175824,23.790696271929825,25.08546703296703,27.376923076923077,28.5515,29.233438016528925,30.219719008264462,27.587790810274427
156221,104,60,Daesagwan-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153799,104,60,Jong-ro 3-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150115,104,60,Ujeongguk-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148856,104,60,Deoksugung-gil,22.338323353293415,22.799101796407186,23.3248502994012,22.76210843373494,22.616036585365855,21.922349397590363,20.988203592814372,20.70556886227545,20.157724550898205,19.747185628742514,18.64233128834356,21.007,18.47398148148148,17.870727272727272,19.456774193548387,19.097018633540372,19.385031055900622,20.552951807228915,20.702874251497008,21.392035928143713,22.433832335329342,23.19922155688623,24.10463855421687,25.679759036144578,21.223317912312993
150405,104,50,Ujeongguk-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148933,104,60,Sajik-ro 8-gil,23.552032967032968,25.318887362637362,25.880302197802198,26.759436813186813,28.440661157024792,26.252692307692307,25.107129120879122,22.706071428571427,20.648585164835165,19.697005494505493,19.528278236914602,21.109205479452054,20.872452054794522,20.37391780821918,19.85521917808219,19.88805479452055,20.07081043956044,20.274986301369864,19.59823287671233,20.48412087912088,21.735563186813188,22.03916208791209,22.415123966942147,23.184118457300276,22.324668740078415
154868,104,0,Jong-ro 1-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150619,104,30,Bukchon-ro 5-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153343,104,60,Hyoja-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150244,104,30,Pirundae-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151378,104,30,Jeongdong-gil,23.558282967032966,24.64107142857143,25.14449175824176,24.42907967032967,26.060812672176308,24.61754120879121,23.082623626373625,19.66331043956044,17.869052197802198,19.51804945054945,18.89366391184573,19.026123287671233,18.06268493150685,17.869438356164384,18.576027397260273,18.265753424657536,17.898873626373625,18.73109589041096,18.418369863013698,18.73114010989011,18.857527472527472,18.483695054945056,20.25077134986226,23.188415977961434,20.57657900306332
149721,104,40,Hyoja-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152821,104,70,Changgyeonggung-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
